Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	4096
1	500	500	500	500	500	500	500	4096
2	1500	1500	1500	1500	1500	1500	1500	4096
3	3750	3750	3750	3750	3750	3750	3750	4096
4	7875	7875	7875	7875	7875	7875	7875	4096
5	14175	14175	14175	14175	14175	14175	14175	4096
6	22680	22680	22680	22680	22680	22680	22680	4096
7	32886	32886	32886	32886	32886	32886	32886	4096
8	44396	44396	44396	44396	44396	44396	44396	4096
9	57715	57715	57715	57715	57715	57715	57715	4096
10	72144	72144	72144	72144	72144	72144	72144	4096
11	90180	90180	90180	90180	90180	90180	90180	4096
12	112725	112725	112725	112725	112725	112725	112725	4096
13	140906	140906	140906	140906	140906	140906	140906	4096
14	176132	176132	176132	176132	176132	176132	176132	4096
15	220165	220165	220165	220165	220165	220165	220165	4096
16	275207	275207	275207	275207	275207	275207	275207	4096
17	344008	344008	344008	344008	344008	344008	344008	4096
18	430010	430010	430010	430010	430010	430010	430010	4096
19	537513	537513	537513	537513	537513	537513	537513	4096
20	671891	671891	671891	671891	671891	671891	671891	4096
21	839864	839864	839864	839864	839864	839864	839864	4096
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	4096
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	4096
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	4096
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	3072
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	3072
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	3072
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	3072
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	3072
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	3072
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	3072
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	3072
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	3072
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	3072
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	3072
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	3072
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	3072
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	3072
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	3072
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	3072
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	3072
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	3072
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	3072
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	3072
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	3072
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	3072
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	3072
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	3072
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	3072
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	2048
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	2048
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	2048
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	2048
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	2048
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	2048
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	2048
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	2048
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	2048
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	2048
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	2048
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	2048
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	2048
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	2048
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	2048
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	2048
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	2048
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	2048
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	2048
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	2048
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	2048
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	2048
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	2048
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	2048
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	2048
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	2048
76	524840254	524840254	524840254	524840254	524840254	524840254	524840254	2048
77	572485967	572485967	572485967	572485967	572485967	572485967	572485967	2048
78	624419793	624419793	624419793	624419793	624419793	624419793	624419793	2048
79	681027665	681027665	681027665	681027665	681027665	681027665	681027665	2048
80	742730244	742730244	742730244	742730244	742730244	742730244	742730244	1024
81	809986056	809986056	809986056	809986056	809986056	809986056	809986056	1024
82	883294891	883294891	883294891	883294891	883294891	883294891	883294891	1024
83	963201521	963201521	963201521	963201521	963201521	963201521	963201521	1024
84	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1050299747	1024
85	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1145236814	1024
