npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	24	4	1024	922	68									999999	999999	999999
charsi	512	960	24	4	1024	922	68									999999	999999	999999
akara	512	1024	24	4	1024	922	68									999999	999999	999999
lysander	512	1024	24	9	1024	922	68									999999	999999	999999
drognan	512	1024	24	9	1024	922	68									999999	999999	999999
elzix	512	1024	24	9	1024	922	68									999999	999999	999999
fara	512	1024	24	9	1024	922	68									999999	999999	999999
hratli	512	1024	24	17	1024	922	68									999999	999999	999999
alkor	512	1024	24	17	1024	922	68									999999	999999	999999
ormus	512	1024	24	17	1024	922	68									999999	999999	999999
asheara	512	1024	24	17	1024	922	68									999999	999999	999999
jamella	512	1024	24	41	1024	922	68									999999	999999	999999
halbu	512	1024	24	41	1024	922	68									999999	999999	999999
malah	512	2048	24	41	1024	922	68	35	1024	512	68					999999	999999	999999
drehya	512	2048	24	41	1024	922	68	35	1024	512	68					999999	999999	999999
larzuk	512	2048	24	41	1024	922	68	35	1024	512	68					999999	999999	999999
nihlathak	512	2048	24	41	1024	922	68	35	1024	512	68					999999	999999	999999
